BALANCE,CREDIT_LIMIT,PURCHASES,PURCHASES_FREQUENCY,PURCHASES_TRX,ONEOFF_PURCHASES,ONEOFF_PURCHASES_FREQUENCY
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,baixo,médio,baixa,muito baixo,baixo
médio,alto,baixo,baixo,nenhuma,baixo,baixo
médio,médio,baixo,baixo,nenhuma,baixo,baixo
baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,médio,médio,baixo,nenhuma,médio,baixo
médio,médio,alto,alto,alta,muito baixo,baixo
médio,médio,médio,médio,baixa,baixo,médio
baixo,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,baixo,alto,baixa,baixo,baixo
médio,médio,alto,médio,nenhuma,médio,médio
alto,alto,médio,alto,baixa,muito baixo,baixo
alto,alto,alto,alto,alta,médio,médio
baixo,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,médio,médio,baixa,baixo,baixo
baixo,alto,médio,baixo,baixa,baixo,baixo
alto,alto,médio,alto,moderada,baixo,baixo
médio,alto,médio,alto,moderada,médio,alto
baixo,baixo,baixo,alto,baixa,muito baixo,baixo
médio,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,médio,médio,baixa,baixo,médio
muito baixo,médio,baixo,alto,moderada,baixo,baixo
muito baixo,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,alto,baixo,médio,baixa,muito baixo,baixo
muito baixo,baixo,médio,médio,moderada,muito baixo,baixo
médio,alto,alto,alto,alta,médio,alto
baixo,muito alto,alto,alto,moderada,médio,alto
alto,alto,alto,alto,alta,médio,alto
alto,alto,alto,alto,alta,médio,alto
alto,médio,baixo,baixo,nenhuma,baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,alto,alto,alta,médio,baixo
médio,médio,médio,alto,moderada,baixo,baixo
médio,médio,baixo,baixo,nenhuma,baixo,baixo
médio,médio,médio,baixo,nenhuma,baixo,baixo
alto,médio,baixo,baixo,nenhuma,baixo,baixo
médio,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,alto,médio,alto,baixa,médio,alto
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,alto,baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,médio,alto,alto,moderada,muito baixo,baixo
alto,alto,alto,alto,alta,médio,alto
muito baixo,médio,médio,alto,alta,muito baixo,baixo
baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,médio,baixo,nenhuma,médio,baixo
baixo,médio,médio,alto,moderada,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,médio,alto,baixa,baixo,baixo
alto,alto,alto,alto,alta,médio,alto
baixo,alto,alto,alto,alta,médio,médio
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,alto,alto,alta,médio,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,alto,alto,moderada,médio,médio
baixo,médio,médio,alto,alta,médio,médio
baixo,alto,alto,médio,moderada,muito baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,alto,médio,baixo,nenhuma,muito baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,muito alto,alto,alto,alta,médio,alto
médio,alto,alto,baixo,baixa,médio,baixo
alto,alto,alto,alto,alta,muito baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,muito alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,alto,alto,alta,médio,alto
muito baixo,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,alto,alto,moderada,médio,baixo
alto,muito alto,baixo,baixo,nenhuma,baixo,baixo
muito baixo,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,médio,médio,baixo,baixa,médio,baixo
alto,médio,alto,alto,alta,baixo,baixo
muito baixo,médio,baixo,médio,baixa,muito baixo,baixo
alto,alto,médio,baixo,nenhuma,médio,baixo
baixo,médio,médio,alto,moderada,muito baixo,baixo
médio,médio,alto,médio,baixa,médio,baixo
alto,muito alto,alto,alto,alta,médio,médio
baixo,baixo,médio,alto,moderada,médio,médio
alto,muito alto,alto,alto,alta,médio,alto
alto,médio,médio,alto,moderada,médio,alto
médio,baixo,baixo,médio,baixa,baixo,baixo
baixo,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,muito alto,alto,alto,moderada,médio,médio
alto,alto,alto,alto,alta,médio,alto
alto,alto,médio,baixo,nenhuma,médio,baixo
muito baixo,alto,médio,alto,baixa,muito baixo,baixo
baixo,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,baixo,médio,médio,baixa,baixo,baixo
médio,alto,médio,alto,baixa,baixo,baixo
alto,alto,alto,médio,moderada,muito baixo,baixo
médio,alto,alto,alto,alta,médio,alto
muito baixo,alto,médio,alto,alta,muito baixo,baixo
alto,muito alto,alto,alto,alta,médio,alto
muito baixo,médio,alto,alto,alta,médio,médio
muito baixo,muito alto,alto,médio,nenhuma,muito baixo,baixo
alto,alto,alto,alto,alta,médio,alto
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,alto,alto,alta,médio,alto
médio,baixo,baixo,baixo,nenhuma,baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,baixo,médio,alto,alta,baixo,baixo
médio,médio,médio,baixo,baixa,baixo,baixo
muito baixo,baixo,médio,alto,baixa,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,baixo,alto,moderada,muito baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
médio,baixo,médio,alto,moderada,muito baixo,baixo
baixo,médio,alto,alto,moderada,médio,médio
baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,alto,alto,alto,alta,médio,alto
muito baixo,alto,baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,alto,alto,alta,médio,alto
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,médio,alto,moderada,médio,alto
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,muito alto,alto,alto,alta,médio,médio
muito baixo,alto,baixo,médio,baixa,muito baixo,baixo
médio,médio,alto,alto,alta,baixo,médio
muito baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,alto,baixo,baixo,nenhuma,baixo,baixo
muito baixo,alto,médio,alto,moderada,baixo,médio
baixo,baixo,alto,alto,moderada,muito baixo,baixo
médio,alto,baixo,baixo,nenhuma,muito baixo,baixo
médio,baixo,médio,alto,alta,baixo,médio
baixo,médio,médio,médio,baixa,médio,médio
médio,baixo,baixo,médio,moderada,baixo,médio
muito baixo,alto,baixo,baixo,nenhuma,baixo,baixo
baixo,alto,baixo,baixo,nenhuma,baixo,baixo
muito baixo,médio,baixo,baixo,nenhuma,baixo,baixo
alto,muito alto,alto,médio,moderada,muito baixo,baixo
alto,médio,médio,médio,moderada,médio,médio
alto,alto,alto,alto,alta,médio,baixo
baixo,alto,alto,alto,alta,baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
médio,alto,médio,baixo,baixa,médio,baixo
alto,alto,baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,muito alto,médio,baixo,nenhuma,baixo,baixo
baixo,médio,médio,médio,moderada,baixo,baixo
muito baixo,médio,baixo,alto,baixa,muito baixo,baixo
alto,alto,alto,médio,baixa,médio,baixo
alto,alto,alto,alto,alta,médio,alto
muito baixo,médio,baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,médio,baixo,nenhuma,médio,baixo
alto,alto,médio,médio,baixa,médio,médio
alto,alto,alto,alto,alta,médio,médio
muito baixo,médio,médio,baixo,nenhuma,médio,baixo
alto,alto,médio,alto,moderada,baixo,alto
alto,alto,médio,médio,baixa,médio,médio
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,baixo,alto,baixa,baixo,alto
muito baixo,médio,médio,baixo,nenhuma,muito baixo,baixo
muito baixo,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,baixo,médio,alto,alta,baixo,baixo
muito baixo,alto,baixo,médio,baixa,baixo,baixo
médio,médio,médio,médio,baixa,baixo,médio
alto,alto,alto,alto,alta,médio,alto
alto,alto,alto,alto,alta,médio,alto
alto,alto,alto,alto,moderada,médio,alto
muito baixo,médio,baixo,baixo,nenhuma,baixo,baixo
alto,alto,alto,alto,alta,médio,alto
alto,alto,alto,médio,baixa,médio,médio
muito baixo,médio,baixo,baixo,nenhuma,baixo,baixo
alto,médio,alto,alto,alta,baixo,médio
alto,alto,alto,alto,alta,médio,médio
muito baixo,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,muito alto,alto,alto,alta,médio,alto
médio,baixo,médio,alto,moderada,baixo,baixo
baixo,médio,alto,alto,moderada,muito baixo,baixo
médio,alto,médio,alto,moderada,médio,alto
alto,médio,baixo,baixo,nenhuma,baixo,baixo
alto,médio,alto,alto,alta,médio,alto
alto,alto,alto,alto,moderada,médio,alto
alto,alto,baixo,médio,baixa,muito baixo,baixo
alto,alto,baixo,médio,baixa,baixo,baixo
muito baixo,alto,baixo,médio,baixa,muito baixo,baixo
médio,médio,baixo,médio,baixa,baixo,baixo
alto,alto,alto,baixo,nenhuma,médio,baixo
baixo,médio,alto,médio,moderada,médio,baixo
médio,alto,alto,alto,alta,médio,alto
baixo,alto,médio,baixo,nenhuma,médio,baixo
alto,médio,alto,alto,alta,médio,alto
muito baixo,médio,baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,alto,alto,alta,médio,médio
muito baixo,baixo,baixo,alto,moderada,muito baixo,baixo
alto,alto,baixo,alto,moderada,muito baixo,baixo
alto,alto,alto,alto,alta,médio,alto
alto,médio,médio,baixo,moderada,médio,baixo
médio,baixo,médio,alto,moderada,muito baixo,baixo
muito baixo,médio,baixo,médio,baixa,muito baixo,baixo
baixo,alto,alto,alto,moderada,médio,alto
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,baixo,baixo,médio,nenhuma,muito baixo,baixo
muito baixo,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,alto,alto,alto,alta,médio,alto
alto,alto,alto,alto,alta,muito baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,alto,baixo,nenhuma,médio,baixo
alto,médio,alto,alto,alta,médio,alto
médio,médio,alto,alto,alta,médio,alto
alto,alto,alto,alto,alta,médio,médio
baixo,alto,médio,médio,baixa,baixo,baixo
alto,alto,alto,alto,moderada,baixo,baixo
médio,alto,alto,alto,alta,médio,médio
alto,alto,médio,alto,baixa,baixo,alto
muito baixo,alto,médio,baixo,nenhuma,baixo,baixo
alto,alto,alto,alto,alta,médio,alto
baixo,alto,alto,alto,alta,médio,alto
alto,alto,baixo,baixo,nenhuma,baixo,baixo
baixo,alto,alto,alto,moderada,médio,médio
alto,alto,alto,alto,alta,médio,alto
alto,muito alto,médio,alto,moderada,baixo,baixo
muito baixo,baixo,baixo,baixo,nenhuma,baixo,baixo
médio,médio,baixo,baixo,nenhuma,baixo,baixo
muito baixo,alto,médio,baixo,nenhuma,baixo,baixo
médio,alto,médio,alto,baixa,muito baixo,baixo
médio,alto,alto,alto,moderada,médio,baixo
alto,alto,alto,médio,moderada,médio,médio
médio,baixo,médio,alto,moderada,muito baixo,baixo
baixo,alto,baixo,médio,baixa,baixo,baixo
alto,médio,alto,alto,alta,médio,baixo
baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,médio,médio,moderada,baixo,médio
muito baixo,alto,médio,médio,moderada,médio,médio
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
alto,alto,médio,médio,baixa,baixo,baixo
alto,médio,alto,baixo,nenhuma,médio,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,alto,médio,alto,moderada,muito baixo,baixo
baixo,médio,alto,alto,alta,médio,baixo
médio,alto,baixo,baixo,nenhuma,baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,médio,alto,moderada,médio,alto
baixo,baixo,alto,alto,moderada,médio,alto
alto,médio,médio,baixo,moderada,médio,baixo
alto,alto,alto,alto,alta,médio,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,alto,médio,moderada,médio,médio
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,alto,alto,alta,baixo,baixo
baixo,alto,alto,alto,alta,baixo,médio
baixo,médio,alto,alto,moderada,baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,médio,alto,moderada,baixo,baixo
muito baixo,alto,médio,alto,moderada,baixo,alto
médio,médio,alto,alto,alta,médio,alto
baixo,alto,alto,alto,alta,médio,alto
médio,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,baixo,alto,baixa,baixo,alto
muito baixo,baixo,baixo,alto,moderada,muito baixo,baixo
muito baixo,alto,médio,alto,moderada,baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,médio,alto,moderada,baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,médio,baixo,nenhuma,baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,baixo,médio,alto,alta,muito baixo,baixo
alto,muito alto,alto,alto,alta,baixo,baixo
alto,médio,médio,alto,moderada,médio,alto
baixo,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,alto,alto,moderada,médio,alto
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,alto,médio,alto,moderada,médio,alto
baixo,alto,alto,alto,alta,médio,médio
baixo,alto,alto,alto,alta,médio,alto
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,baixo,baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
muito baixo,médio,baixo,médio,baixa,muito baixo,baixo
alto,alto,baixo,alto,moderada,muito baixo,baixo
médio,médio,baixo,baixo,nenhuma,baixo,baixo
médio,alto,alto,médio,baixa,médio,médio
médio,baixo,médio,baixo,nenhuma,baixo,baixo
muito baixo,médio,baixo,baixo,nenhuma,baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
muito baixo,médio,médio,médio,baixa,baixo,baixo
médio,alto,médio,alto,moderada,baixo,alto
médio,médio,médio,alto,alta,baixo,médio
alto,alto,alto,alto,alta,médio,médio
muito baixo,médio,baixo,alto,moderada,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,alto,alto,alto,alta,médio,alto
alto,alto,alto,médio,baixa,médio,baixo
muito baixo,médio,médio,baixo,nenhuma,médio,baixo
muito baixo,alto,médio,baixo,baixa,médio,baixo
médio,médio,alto,alto,alta,médio,alto
muito baixo,muito alto,alto,alto,moderada,baixo,baixo
alto,alto,baixo,médio,nenhuma,muito baixo,baixo
baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,médio,alto,moderada,médio,médio
médio,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,alto,médio,médio,baixa,baixo,médio
médio,alto,alto,alto,alta,médio,baixo
baixo,baixo,médio,baixo,nenhuma,baixo,baixo
médio,baixo,alto,alto,alta,muito baixo,baixo
baixo,médio,baixo,baixo,nenhuma,baixo,baixo
alto,alto,alto,alto,alta,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
alto,alto,alto,alto,alta,muito baixo,baixo
baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,alto,alto,alta,médio,alto
médio,médio,médio,alto,alta,muito baixo,baixo
muito baixo,alto,baixo,baixo,nenhuma,baixo,baixo
alto,muito alto,alto,alto,alta,médio,alto
baixo,médio,alto,médio,baixa,muito baixo,baixo
baixo,baixo,baixo,baixo,baixa,baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,baixo,baixo,baixo,nenhuma,baixo,baixo
muito baixo,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,alto,alto,alta,médio,alto
baixo,alto,baixo,baixo,nenhuma,baixo,baixo
médio,médio,baixo,baixo,nenhuma,baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,médio,médio,alto,alta,muito baixo,baixo
baixo,médio,baixo,médio,baixa,muito baixo,baixo
baixo,médio,baixo,baixo,nenhuma,baixo,baixo
médio,alto,médio,alto,moderada,médio,alto
médio,médio,alto,baixo,nenhuma,médio,baixo
alto,alto,alto,alto,alta,médio,baixo
baixo,baixo,médio,médio,baixa,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,baixo,alto,baixa,muito baixo,baixo
médio,baixo,alto,médio,nenhuma,médio,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,médio,alto,moderada,baixo,baixo
baixo,médio,alto,alto,moderada,baixo,baixo
médio,médio,médio,alto,alta,muito baixo,baixo
alto,alto,médio,alto,baixa,baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,médio,médio,baixa,baixo,baixo
baixo,médio,médio,médio,baixa,baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,alto,baixo,baixa,baixo,baixo
médio,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,alto,alto,alto,alta,baixo,alto
muito baixo,baixo,baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,baixo,baixo,nenhuma,baixo,baixo
baixo,alto,alto,alto,moderada,muito baixo,baixo
baixo,alto,alto,alto,alta,baixo,baixo
alto,alto,baixo,baixo,baixa,baixo,baixo
alto,alto,alto,alto,alta,médio,médio
baixo,alto,alto,médio,moderada,médio,baixo
médio,médio,médio,alto,alta,baixo,baixo
baixo,médio,alto,médio,baixa,baixo,baixo
médio,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,alto,alto,alta,médio,alto
médio,alto,médio,alto,moderada,muito baixo,baixo
alto,médio,médio,médio,moderada,baixo,médio
baixo,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,baixo,baixo,nenhuma,baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,baixo,alto,alta,muito baixo,baixo
baixo,médio,alto,baixo,baixa,médio,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,baixo,baixo,nenhuma,baixo,baixo
alto,médio,baixo,alto,baixa,muito baixo,baixo
alto,alto,alto,alto,alta,médio,médio
médio,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,médio,alto,moderada,médio,alto
muito baixo,médio,baixo,baixo,nenhuma,baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,médio,alto,baixa,muito baixo,baixo
alto,médio,alto,alto,alta,médio,alto
alto,alto,alto,médio,moderada,baixo,baixo
baixo,médio,alto,alto,alta,baixo,médio
muito baixo,alto,médio,baixo,baixa,médio,baixo
médio,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,médio,baixo,médio,baixa,baixo,baixo
médio,médio,alto,alto,alta,médio,alto
alto,alto,alto,alto,alta,médio,alto
alto,médio,alto,alto,alta,baixo,baixo
alto,alto,baixo,alto,baixa,muito baixo,baixo
médio,médio,alto,alto,alta,médio,alto
muito baixo,alto,médio,médio,baixa,baixo,baixo
muito baixo,alto,alto,alto,moderada,muito baixo,baixo
baixo,baixo,alto,alto,moderada,médio,médio
médio,médio,baixo,médio,baixa,muito baixo,baixo
médio,alto,alto,médio,alta,médio,baixo
baixo,alto,alto,alto,moderada,médio,alto
baixo,médio,alto,alto,alta,baixo,baixo
médio,médio,médio,alto,alta,baixo,médio
baixo,médio,médio,alto,moderada,baixo,baixo
baixo,baixo,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,médio,alto,alto,alta,médio,alto
muito baixo,alto,médio,alto,moderada,muito baixo,baixo
alto,alto,alto,alto,alta,médio,alto
baixo,alto,alto,baixo,nenhuma,médio,baixo
alto,alto,baixo,baixo,nenhuma,baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,alto,alto,alta,baixo,médio
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,baixo,baixo,médio,nenhuma,muito baixo,baixo
alto,alto,médio,baixo,nenhuma,muito baixo,baixo
alto,médio,alto,alto,alta,médio,baixo
baixo,alto,alto,alto,alta,médio,alto
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,alto,baixo,baixo,nenhuma,baixo,baixo
muito baixo,alto,médio,médio,baixa,muito baixo,baixo
baixo,alto,alto,alto,alta,médio,médio
baixo,alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
baixo,alto,alto,alto,alta,médio,alto
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
alto,alto,baixo,baixo,baixa,baixo,baixo
baixo,alto,alto,alto,moderada,médio,alto
alto,alto,alto,alto,alta,médio,médio
alto,muito alto,muito baixo,baixo,nenhuma,muito baixo,baixo
baixo,alto,alto,alto,alta,médio,alto
médio,médio,alto,baixo,baixa,médio,baixo
alto,alto,médio,alto,moderada,médio,alto
alto,alto,baixo,baixo,nenhuma,baixo,baixo
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
médio,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
muito baixo,alto,médio,médio,baixa,muito baixo,baixo
alto,médio,médio,alto,moderada,médio,alto
médio,médio,alto,alto,moderada,baixo,baixo
alto,muito alto,alto,alto,alta,médio,alto
muito baixo,muito alto,médio,médio,baixa,médio,médio
baixo,médio,alto,alto,alta,médio,médio
muito baixo,médio,baixo,alto,baixa,muito baixo,baixo
muito baixo,médio,médio,médio,baixa,muito baixo,baixo
médio,baixo,médio,alto,moderada,muito baixo,baixo
alto,muito alto,alto,alto,alta,médio,alto
alto,médio,muito baixo,baixo,nenhuma,muito baixo,baixo
alto,alto,alto,alto,alta,médio,alto
muito baixo,médio,médio,alto,baixa,muito baixo,baixo
alto,alto,alto,alto,alta,médio,médio
alto,alto,alto,baixo,baixa,médio,baixo
alto,médio,alto,alto,moderada,baixo,baixo
médio,alto,alto,alto,alta,médio,médio
muito baixo,alto,médio,alto,moderada,médio,alto
